text_a	text_b	labels	predictions
Simultaneously, the Legion took part to the pacification of Algeria, plagued by various tribal rebellions and razzias.	Gleichzeitig nahm die Legion an der Befriedung Algeriens teil, die von verschiedenen Stammesaufständen und Rasias heimgesucht wurde.	-0.31218595743933597	-0.3452788370168805
He also begins an affair with Veronica Harrington, who bails him out.	Er beginnt auch eine Affäre mit Veronica Harrington, die ihn rettet.	-0.4015809836250652	-0.2841046042530518
The urban morphology of these two local watersheds tends to draw them inexorably closer together.	Die urbane Morphologie dieser beiden lokalen Wasserscheiden tendiert dazu, sie unaufhaltsam zusammenzubringen.	0.2754139609888594	-0.3227628920510537
Important finds included a bronze axe in Wellwood and a gold torc from the Parish Churchyard.	Wichtige Funde waren eine Bronzeaxt in Wellwood und eine goldene Torke vom Kirchhof der Pfarrei.	0.5809248315241345	-0.3022982422068739
Previously, Englishmen had drunk mainly dark stout and porter beers, but pale ale came to predominate.	Früher hatten Engländer vor allem dunkle Stout und Portier Bier getrunken, aber blasse Ale kam zu dominieren.	-1.8951289286482245	-0.31544941058282067
Though he loves her, he refuses to marry her, which infuriates Erica.	Obwohl er sie liebt, weigert er sich, sie zu heiraten, was Erica wütend macht.	0.7341507308055486	-0.3128318151614344
"Soon after, Reese jetted around the end, ""slipping here, twirling there"", for a 45 yard touchdown."	"Bald darauf jettete Reese um das Ende, ""gleiten hier, wirbeln dort"", für einen 45 Yard Touchdown."	-0.7348298682110964	-0.4428679464725221
Polonium's isotopes tend to decay with alpha or beta decay.	Poloniums Isotope neigen dazu, mit Alpha- oder Beta-Zerfall zu zerfallen.	0.5653215866105408	-0.27732219576792116
231 and penetrated the armour of the Panzer IV behind it.	231 und dringt hinter ihm in die Panzer IV ein.	-1.2186589611671552	-0.3112218904743415
Palmer sat at 26 of 46 for 298 yards, a touchdown, an interception, and also a rushing touchdown against the Jacksonville Jaguars a week later.	Palmer saß an 26 von 46 für 298 Yards, ein touchdown, ein Abfangen und auch ein rauschendes touchdown gegen die Jacksonville Jaguars eine Woche später.	-0.7854045999471314	-0.3914337641184088
The PVV contested the 2017 general election with Wilders at its helm.	Die PVV bestritt die Parlamentswahlen 2017 mit Wilders an der Spitze.	0.5742000246775014	-0.2701185121560072
James Purdy, 94, American novelist, poet and playwright.	James Purdy, 94, amerikanischer Schriftsteller, Dichter und Dramatiker.	0.8245193044634219	-0.1815273793953752
on October 23 NWATNA PPV, Hall defeated Jeff Jarrett.	am 23. Oktober NWATNA PPV besiegte Hall Jeff Jarrett.	0.5821575715242491	-0.3791529888923383
It premiered in May 2017 at HERE Arts Center in New York.	Die Premiere fand im Mai 2017 im HERE Arts Center in New York statt.	0.7248692004738366	-0.2652742113662187
"Raitt asked to sing ""Largo al factotum"", Figaro's aria from The Barber of Seville, to warm up."	"Raitt bat, ""Largo al factotum"", Figaros Arie vom Barbier von Sevilla, zu singen, um sich aufzuwärmen."	0.348512887101239	-0.3519181572261901
The first objections to Marx came from the mutualists who opposed communism and statism.	Die ersten Einwände gegen Marx kamen von den Mutualisten, die sich dem Kommunismus und dem Statismus entgegenstellten.	0.6615523558701151	-0.2784861498897648
"Musicians like David Bowie, Moby, Dizzee Rascal and Dave Grohl praised ""Royals""."	"Musiker wie David Bowie, Moby, Dizzee Rascal und Dave Grohl lobten ""Royals""."	0.7857272046212123	-0.3260823705716018
Wilson later travelled to London in 1898, where he floated both the Donnybrook Blocks Mining Syndicate and the New Ravenswood Company in 1899.	Wilson reiste später 1898 nach London, wo er 1899 sowohl das Donnybrook Blocks Mining Syndicate als auch die New Ravenswood Company schwebte.	-1.0129433800347791	-0.3257183549663621
In the 2008 NBA draft, the Bobcats selected D. J. Augustin from Texas ninth overall.	Im NBA-Entwurf 2008 wählten die Bobcats D. J. Augustin aus Texas den neunten Gesamtrang aus.	-0.8196018330083807	-0.3303249016328739
These comprised two squadrons each of dive bombers and torpedo bombers.	Diese umfassten je zwei Staffeln Tauchbomber und Torpedobomber.	0.29071786054241583	-0.27968024697326616
