text_a	text_b	labels	predictions
Kaks sõdurit sai vigastada ja toimetati ravile Tshinvali haiglasse.	Two soldiers were injured and brought to Tskinvali's hospital for treatment.	1.0040129555161228	0.9250449951558688
Kant ütleb, et kõik käsitööd, tööndused ja kunstid on tööjaotusest võitnud ning filosoofia peaks neist eeskuju võtma.	Kant says that all crafts, all works and all the arts have gained from the division of labour, and the philosophy should take inspiration from them.	0.7826226824510246	0.8133114703729645
Ülestõus kestis 1956. aasta 23. oktoobrist 10. novembrini.	It ran from 23 October 1956 to 10 November.	-1.1622779701963228	-0.2874861675167426
Religioon pakub vaimu puhastamiseks teatud vahendeid.	Religion offers certain means of cleansing the spirit.	0.969578339340567	1.0233806249344757
"Duns Scotus hakkas Pariisis ""Sententiae"" üle loenguid pidama, tõenäoliselt järjekorras I, IV, II ja III raamat."	Duns Scotus started to lecture in Paris on the Sententiae, probably in the order I, IV, II and III.	1.0485619208689674	0.7104041277987172
Pistorius jääb kuni karistuse määramiseni aprillis 2016 elektroonilise järelevalve alla.	The office will remain under electronic supervision until the penalty is imposed in April 2016.	-0.48159327063354496	-0.44532428414379266
See dateering seati küll kahtluse alla, kuid hilisemad leiud samast piirkonnast, mis on umbes 18 000 aastat vanad, on selle tõenäosust suurendanud.	This development was called into question, but subsequent findings from the same region, which is about 18 000 years old, have increased its likelihood.	0.5937681332484477	0.7284138978000493
Ameerika Ühendriikides Minnesota osariigis Minneapolises tehti pommiähvardus Minnesota Ülikoolile.	In Minnesota State Minneapolis in the United States, a threat to the University of Minnesota was bombed.	0.1284325550032699	-0.05657678963906341
Jacksoni surnukeha viidi helikopteriga Los Angelesse Lincoln Heightsi, kus seda 26. juunil lahkas kolm tundi koroner Lakshmanan Sathyavagiswaran.	The body of Jackson was hanged to Lincoln Heights, Lincoln Heights, a helicopter with Lakshmanan Sathyavagissyan, where on 26 June it was broken down by three hours of Koroner.	-0.35210618631695384	-0.36914998605687604
Maailmas on väga erinevaid kiirabiteenust pakkuvaid organisatsioone.	There are a wide range of organisations in the world providing emergency services.	1.0893677916059483	1.0432281007125475
Ohutusnõuded olid siis tänapäeva mõistes allpool igasugust arvestust.	Safety requirements were then below all due consideration in modern terms.	0.16924859276517626	0.5459660755319471
See tundub katsena toppida loodus suhteliselt jäika sahtlisse, mille paradigma ette annab.	It seems like an attempt to poke nature into a relatively rigid sailty, a paradigm of which it presents.	0.6186976049313183	0.4512774143597749
Hukkusid kõik lennuki pardal viibinud kakskümmend inimest, nende seas ka üks brigaadikindral.	All the twenty-one people on board the aircraft, including one Brigadier, died.	0.6317774050001622	0.8472608199315108
Aastal 1132 proovisid Antakya, Tripoli ja Edessa kõik oma iseseisvust maksma panna ja hakkasid Jeruusalemma kuningavõimule vastu.	In the year 1132, Antakya, Tripoli and Edessa all tried to assert their independence and began to stand up to the kings of Jerusalem.	0.9506619822078972	0.6919081037628367
Victory lõpetas tule, laskurid kutsuti tekile võitlema, kuid suruti Prantsuse grenaderide poolt alumistele tekkidele.	The Victory ended up coming out, the kidnappers were invited to fight, but French grenaders were forced to go to the bottom.	-1.521532507776171	-1.1110201363828165
Armastaja hoolib sellest, mida ta armastab, selle enese pärast.	The artist cares about what he loves for this himself.	-0.0781178367695207	-0.22044642639619294
Jällegi toetasid oksjonit ka sõbrad, teiste seas Jeff Beck, J.J.	Once again, the auction was supported by friends, including Jeff Beck, J.J..	1.132215776839254	0.8153722854136021
Nad võisid saarele jääda ainult Jonesi armust; Jones oli hiljuti kaks eurooplast, kes talle ei meeldinud, avamerele hulpima saatnud.	They could only stay on the island of Jones, who had recently sent two Europeans who did not like her to the high seas.	-1.283072801785317	-0.8891104331886666
Nagano linna põhjaosas varises kokku vähemalt 15 hoonet, vähemalt 50 inimest sai ka eri raskusastmega vigastusi.	In the northern part of Nagano, at least 15 buildings collapsed, and at least 50 people were injured at different levels.	0.7353119354855058	0.7962232138474767
Ta palkas Montréali ajakirjaniku Michael Woloschuki, saamaks selgust isa elukäigus.	He asked the Montréal journalist Michael Woloschuk to get clarity in his life.	-0.9365167859943109	-0.4740982842866865
Aga kui üks objekt on mitmel ajal ühes kohas, siis on tegu selle erinevate ajaliste osadega.	However, if one site is in one place at several times, then it is in different parts of its time.	0.04103585244794614	0.11073495048899668
Kahel üle 8 meetri pikkusel piltvaibal on kujutatud vana testamendi sündmusi Iisraeli riigi kuldaja kuninga Saalomoni elust.	For two more than 8 metres, the events of the old testament have been depicted in the life of the State of Israel with the King of Solomon.	-0.7695056641126568	-0.6326248912699756
Siis ei paneks aru selle suhte otsi oma teise toiminguga kokku, otsad oleks oma loomuse tõttu üksteisega suhtes.	Then the relationship would not be lost in the search for its second action, which, by its nature, would be sought in relation to each other.	-0.6521343802149492	-0.5330160436903796
Paradigmas on ka instrumendid ja nende kasutamise tehnikad, mida on tarvis, et siduda seadused reaalse maailmaga.	The instruments and the techniques for their use that are needed to link legislation to the real world are also improving.	-0.14287991284941265	0.20133853298400176
